기관명,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,일반전형,채용인원,채용방법,전형방법,임용시기,임용조건,담당부서,연락처
부산도시공사,2024년 상반기 부산도시공사 직원 모집공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷 접수,http://busan.saramin.co.kr,토목직,3,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"만 18세 이상(2006.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자 또는 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자, 어학능력 기준점수 이상 취득자, 기사(건설재료시험, 측량 및 지형공간정보, 콘크리트, 토목, 도시계획, 교통, 건설안전, 산업안전), 기술사(토목품질시험, 측량 및 지형공간정보, 토질 및 기초, 토목구조, 도로 및 공항, 토목시공, 항만 및 해안, 상하수도, 수자원개발, 도시계획, 교통, 건설안전) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2024년 상반기 부산도시공사 직원 모집공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷 접수,http://busan.saramin.co.kr,건축직,4,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"만 18세 이상(2006.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자 또는 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자, 어학능력 기준점수 이상 취득자, 기사(건축, 실내건축, 건설안전, 산업안전), 기술사(건축시공, 건축품질시험, 건축구조, 건설안전), 건축사 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2024년 상반기 부산도시공사 직원 모집공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷 접수,http://busan.saramin.co.kr,기계직,1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"만 18세 이상(2006.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자 또는 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자, 어학능력 기준점수 이상 취득자, 기사(건설기계설비, 일반기계, 공조냉동기계, 건축설비), 기술사(건축기계설비, 공조냉동기계, 건설기계) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2024년 상반기 부산도시공사 직원 모집공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷 접수,http://busan.saramin.co.kr,전기직,1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"만 18세 이상(2006.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자 또는 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자, 어학능력 기준점수 이상 취득자, 기사(전기, 전기공사), 기술사(건축전기설비, 발송배전, 전기응용) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2024년 상반기 부산도시공사 직원 모집공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷 접수,http://busan.saramin.co.kr,통신직,1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"만 18세 이상(2006.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자 또는 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자, 어학능력 기준점수 이상 취득자, 기사(정보통신, 무선설비, 방송통신, 전파전자통신), 기술사(정보통신) 중 1개 이상 보유한 자 ",경영지원실,051-810-1243
부산도시공사,2024년 상반기 부산도시공사 직원 모집공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷 접수,http://busan.saramin.co.kr,공무직_미화원,1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험",추후 공개,"만 18세 이상(2006.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자 또는 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자,신체 건강한 자로서 해당분야 종사 가능한 자",경영지원실,051-810-1243
부산도시공사,2024년 상반기 부산도시공사 직원 모집공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷 접수,http://busan.saramin.co.kr,아르피나_운영직(기능인재),1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험",추후 공개,"만 18세 이상(2006.12.31 이전 출생자), 만 60세 미만, 공고일 전일 현재 주민등록 상 현주소가 부산광역시로 등재된 자 또는 공고일 전일 현재까지 부산광역시의 주민등록 상 주소지를 두고 있었던 기간을 모두 합산하여 총 3년 이상인 자, 해당학교의 장이 ‘추천심사위원회’를 통해 추천한 자(상세 내용 홈페이지 공고 참고)",경영지원실,051-810-1243
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,행정직,5,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,행정직(경력),2,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,기계직,7,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,전기직,11,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,토목직,1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,건축직,1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,통신직,4,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산시설공단,부산시설공단 일반직 공개경쟁채용 공고,2020/6/30,2020/7/9,2020/7/10,2020/7/20,인터넷 접수,https://bisco.saramin.co.kr,전산직(경력),2,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"부산시 공고일 전일 거주 또는 거주기간 3년 이상, 만60세 미만, 학력 제한 없음, 병역 필 또는 면제, 분야별 자격증 소지자, 경력자의 경우 2~3년 이상 경력",인재경영팀,051-860-7666
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,일반직(기계),15,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,일반직(전기),15,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,일반직(환경),11,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,일반직(토목),6,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,일반직(시설),2,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,경력직(행정),1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,경력직(기계),2,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,경력직(기계_안전),2,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,경력직(전기),1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,경력직(환경),2,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2020년 상반기 부산환경공단 신규직원 채용 공고,2020/5/4,2020/5/25,2020/5/11,2020/5/25,인터넷접수,http://beco.incruit.com,경력직(토목),1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2024년도 상반기 부산환경공단 신규직원 채용공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷접수,http://busan.saramin.co.kr,일반직(행정),2,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2024년도 상반기 부산환경공단 신규직원 채용공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷접수,http://busan.saramin.co.kr,일반직(기계),3,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2024년도 상반기 부산환경공단 신규직원 채용공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷접수,http://busan.saramin.co.kr,일반직(전기),4,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2024년도 상반기 부산환경공단 신규직원 채용공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷접수,http://busan.saramin.co.kr,일반직(환경),5,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
부산환경공단,2024년도 상반기 부산환경공단 신규직원 채용공고,2024/4/9,2024/4/29,2024/4/22,2024/4/29,인터넷접수,http://busan.saramin.co.kr,일반직(토목),1,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 필기시험, 3차 면접시험, 4차 면접시험",추후 공개,"공고일 전일 현재 주민등록상 현주소가 부산광역시로 등재된 자, 만18세 이상 만 60세 이하, 남성의 경우 병역필, 분야별 자격증 소지자, 장애인 및 보훈 대상자의 경우 응시자격에 해당하며 동시에 필요 자격증 취득자, 경력직의 경우 필요한 자격증 소지 또는 경력이 응시자격을 충족하는자",경영지원처,051-760-3234
